mpea,structure,xAl,xNi,xCr,xCo,xFe
Al0.000CoCrFeNi,FCC,0.0,0.25,0.25,0.25,0.25
Al0.004CoCrFeNi,FCC,0.001,0.2498,0.2498,0.2498,0.2498
Al0.008CoCrFeNi,FCC,0.002,0.2495,0.2495,0.2495,0.2495
Al0.012CoCrFeNi,FCC,0.003,0.2493,0.2493,0.2493,0.2493
Al0.016CoCrFeNi,FCC,0.004,0.249,0.249,0.249,0.249
Al0.020CoCrFeNi,FCC,0.005,0.2488,0.2488,0.2488,0.2488
Al0.024CoCrFeNi,FCC,0.006,0.2485,0.2485,0.2485,0.2485
Al0.028CoCrFeNi,FCC,0.007,0.2483,0.2483,0.2483,0.2483
Al0.032CoCrFeNi,FCC,0.0079,0.248,0.248,0.248,0.248
Al0.036CoCrFeNi,FCC,0.0089,0.2478,0.2478,0.2478,0.2478
Al0.040CoCrFeNi,FCC,0.0099,0.2475,0.2475,0.2475,0.2475
Al0.044CoCrFeNi,FCC,0.0109,0.2473,0.2473,0.2473,0.2473
Al0.048CoCrFeNi,FCC,0.0119,0.247,0.247,0.247,0.247
Al0.052CoCrFeNi,FCC,0.0128,0.2468,0.2468,0.2468,0.2468
Al0.056CoCrFeNi,FCC,0.0138,0.2465,0.2465,0.2465,0.2465
Al0.060CoCrFeNi,FCC,0.0148,0.2463,0.2463,0.2463,0.2463
Al0.064CoCrFeNi,FCC,0.0157,0.2461,0.2461,0.2461,0.2461
Al0.068CoCrFeNi,FCC,0.0167,0.2458,0.2458,0.2458,0.2458
Al0.072CoCrFeNi,FCC,0.0177,0.2456,0.2456,0.2456,0.2456
Al0.076CoCrFeNi,FCC,0.0186,0.2453,0.2453,0.2453,0.2453
Al0.080CoCrFeNi,FCC,0.0196,0.2451,0.2451,0.2451,0.2451
Al0.084CoCrFeNi,FCC,0.0206,0.2449,0.2449,0.2449,0.2449
Al0.088CoCrFeNi,FCC,0.0215,0.2446,0.2446,0.2446,0.2446
Al0.092CoCrFeNi,FCC,0.0225,0.2444,0.2444,0.2444,0.2444
Al0.096CoCrFeNi,FCC,0.0234,0.2441,0.2441,0.2441,0.2441
Al0.100CoCrFeNi,FCC,0.0244,0.2439,0.2439,0.2439,0.2439
Al0.104CoCrFeNi,FCC,0.0253,0.2437,0.2437,0.2437,0.2437
Al0.108CoCrFeNi,FCC,0.0263,0.2434,0.2434,0.2434,0.2434
Al0.112CoCrFeNi,FCC,0.0272,0.2432,0.2432,0.2432,0.2432
Al0.116CoCrFeNi,FCC,0.0282,0.243,0.243,0.243,0.243
Al0.120CoCrFeNi,FCC,0.0291,0.2427,0.2427,0.2427,0.2427
Al0.124CoCrFeNi,FCC,0.0301,0.2425,0.2425,0.2425,0.2425
Al0.128CoCrFeNi,FCC,0.031,0.2422,0.2422,0.2422,0.2422
Al0.132CoCrFeNi,FCC,0.0319,0.242,0.242,0.242,0.242
Al0.136CoCrFeNi,FCC,0.0329,0.2418,0.2418,0.2418,0.2418
Al0.140CoCrFeNi,FCC,0.0338,0.2415,0.2415,0.2415,0.2415
Al0.144CoCrFeNi,FCC,0.0347,0.2413,0.2413,0.2413,0.2413
Al0.148CoCrFeNi,FCC,0.0357,0.2411,0.2411,0.2411,0.2411
Al0.152CoCrFeNi,FCC,0.0366,0.2408,0.2408,0.2408,0.2408
Al0.156CoCrFeNi,FCC,0.0375,0.2406,0.2406,0.2406,0.2406
Al0.160CoCrFeNi,FCC,0.0385,0.2404,0.2404,0.2404,0.2404
Al0.164CoCrFeNi,FCC,0.0394,0.2402,0.2402,0.2402,0.2402
Al0.168CoCrFeNi,FCC,0.0403,0.2399,0.2399,0.2399,0.2399
Al0.172CoCrFeNi,FCC,0.0412,0.2397,0.2397,0.2397,0.2397
